country,month,avg_deaths
AD,1,4.56
AD,2,4.216666666666667
AD,3,3.9166666666666665
AD,4,3.3733333333333335
AD,5,3.5166666666666666
AD,6,3.35
AD,7,3.3333333333333335
AD,8,3.3
AD,9,3.492063492063492
AD,10,3.6666666666666665
AD,11,3.933333333333333
AD,12,3.5121951219512195
AL,1,354.6222222222222
AL,2,324.5
AL,3,294.25
AL,4,274.3333333333333
AL,5,254.13888888888889
AL,6,257.80555555555554
AL,7,276.2888888888889
AL,8,273.8333333333333
AL,9,252.07692307692307
AL,10,272.14285714285717
AL,11,329.52777777777777
AL,12,343.3333333333333
AM,1,406.7238095238095
AM,2,391.0238095238095
AM,3,375.5238095238095
AM,4,366.8952380952381
AM,5,342.1904761904762
AM,6,345.23809523809524
AM,7,333.67619047619047
AM,8,319.64285714285717
AM,9,305.7111111111111
AM,10,391.19191919191917
AM,11,486.0238095238095
AM,12,430.31111111111113
AT,1,1134.7944444444445
AT,2,1133.0694444444443
AT,3,1081.0972222222222
AT,4,1004.3333333333334
AT,5,949.8819444444445
AT,6,947.6041666666666
AT,7,946.75
AT,8,935.8125
AT,9,938.437908496732
AT,10,998.719298245614
AT,11,1044.7569444444443
AT,12,1099.9333333333334
BE,1,1563.7797101449275
BE,2,1536.4202898550725
BE,3,1467.4492753623188
BE,4,1405.0202898550724
BE,5,1295.0507246376812
BE,6,1267.0869565217392
BE,7,1256.4521739130435
BE,8,1239.9057971014493
BE,9,1238.3469387755101
BE,10,1322.0183486238532
BE,11,1395.5797101449275
BE,12,1495.701388888889
BG,1,1666.0055555555555
BG,2,1605.638888888889
BG,3,1526.6180555555557
BG,4,1440.2444444444445
BG,5,1345.125
BG,6,1312.6666666666667
BG,7,1302.611111111111
BG,8,1250.576388888889
BG,9,1247.1045751633987
BG,10,1414.748538011696
BG,11,1520.0347222222222
BG,12,1590.9666666666667
CH,1,920.12
CH,2,913.9583333333334
CH,3,856.6083333333333
CH,4,793.0266666666666
CH,5,754.35
CH,6,753.6666666666666
CH,7,745.52
CH,8,745.2833333333333
CH,9,762.2039215686275
CH,10,790.1263157894737
CH,11,816.35
CH,12,859.2931726907631
CY,1,100.9037037037037
CY,2,97.4074074074074
CY,3,87.05555555555556
CY,4,82.97777777777777
CY,5,73.18518518518519
CY,6,70.07407407407408
CY,7,76.66666666666667
CY,8,73.5925925925926
CY,9,70.3157894736842
CY,10,72.04651162790698
CY,11,79.92592592592592
CY,12,89.47368421052632
CZ,1,1565.3543859649124
CZ,2,1603.517543859649
CZ,3,1541.4035087719299
CZ,4,1409.4947368421053
CZ,5,1321.6140350877192
CZ,6,1308.0438596491229
CZ,7,1322.8701754385966
CZ,8,1302.8245614035088
CZ,9,1331.7583333333334
CZ,10,1427.2747252747254
CZ,11,1467.7368421052631
CZ,12,1536.5232067510549
DE,1,12431.81111111111
DE,2,12580.784722222223
DE,3,12300.513888888889
DE,4,11433.777777777777
DE,5,10812.361111111111
DE,6,10642.326388888889
DE,7,10706.9
DE,8,10571.826388888889
DE,9,10554.346405228758
DE,10,11134.327485380118
DE,11,11598.409722222223
DE,12,12377.58
DK,1,758.0533333333333
DK,2,752.1777777777778
DK,3,729.1888888888889
DK,4,693.5822222222222
DK,5,659.3555555555556
DK,6,648.6444444444444
DK,7,646.1066666666667
DK,8,636.1555555555556
DK,9,648.7083333333334
DK,10,660.0845070422536
DK,11,684.3
DK,12,737.2592592592592
EE,1,235.9777777777778
EE,2,234.36111111111111
EE,3,226.94444444444446
EE,4,211.3111111111111
EE,5,202.57638888888889
EE,6,200.55555555555554
EE,7,193.95
EE,8,192.05555555555554
EE,9,200.51633986928104
EE,10,207.74269005847952
EE,11,209.90972222222223
EE,12,225.76
EL,1,1888.0666666666666
EL,2,1741.3333333333333
EL,3,1645.7708333333333
EL,4,1584.9833333333333
EL,5,1467.2916666666667
EL,6,1534.7083333333333
EL,7,1603.95
EL,8,1555.875
EL,9,1434.8039215686274
EL,10,1486.0701754385964
EL,11,1659.2291666666667
EL,12,1780.4705882352941
ES,1,6147.393939393939
ES,2,5726.681818181818
ES,3,5383.265151515152
ES,4,5096.466666666666
ES,5,4701.893939393939
ES,6,4648.55303030303
ES,7,4690.981818181818
ES,8,4596.30303030303
ES,9,4418.510638297872
ES,10,4703.51282051282
ES,11,5081.795454545455
ES,12,5488.782608695652
EU27_2020,1,69463.89333333333
EU27_2020,2,68565.96666666666
EU27_2020,3,64018.73333333333
EU27_2020,4,58381.86666666667
EU27_2020,5,55302.4
EU27_2020,6,54374.6
EU27_2020,7,55216.05333333334
EU27_2020,8,53954.166666666664
EU27_2020,9,53496.793650793654
EU27_2020,10,56859.75
EU27_2020,11,58621.23333333333
EU27_2020,12,62450.031746031746
FI,1,725.8293333333334
FI,2,706.1466666666666
FI,3,700.4933333333333
FI,4,680.928
FI,5,638.9066666666666
FI,6,635.1666666666666
FI,7,625.168
FI,8,623.7466666666667
FI,9,642.0809968847352
FI,10,661.2937853107345
FI,11,669.72
FI,12,710.7119741100323
FR,1,8719.983333333334
FR,2,8607.041666666666
FR,3,8204.875
FR,4,7770.15
FR,5,7101.583333333333
FR,6,6962.895833333333
FR,7,7012.816666666667
FR,8,6915.416666666667
FR,9,7108.196078431372
FR,10,7540.0526315789475
FR,11,7932.395833333333
FR,12,8327.019607843138
GE,1,708.8
GE,2,681.1428571428571
GE,3,652.2380952380952
GE,4,630.6095238095238
GE,5,600.047619047619
GE,6,573.4285714285714
GE,7,552.4761904761905
GE,8,545.1190476190476
GE,9,524.5333333333333
GE,10,591.7979797979798
GE,11,676.4761904761905
GE,12,704.5333333333333
HR,1,760.2777777777778
HR,2,738.5902777777778
HR,3,710.9305555555555
HR,4,665.9833333333333
HR,5,627.1041666666666
HR,6,633.0902777777778
HR,7,626.4111111111112
HR,8,609.25
HR,9,610.6862745098039
HR,10,646.7543859649123
HR,11,678.0833333333334
HR,12,733.48
HU,1,1861.0
HU,2,1867.3541666666667
HU,3,1852.6180555555557
HU,4,1699.9611111111112
HU,5,1572.888888888889
HU,6,1575.6597222222222
HU,7,1563.2
HU,8,1521.3125
HU,9,1563.6209150326797
HU,10,1671.2456140350878
HU,11,1734.5277777777778
HU,12,1847.5533333333333
IE,1,484.35555555555555
IE,2,450.3888888888889
IE,3,421.3888888888889
IE,4,415.5407407407407
IE,5,383.5925925925926
IE,6,362.6666666666667
IE,7,359.4074074074074
IE,8,365.4259259259259
IE,9,379.5438596491228
IE,10,403.2093023255814
IE,11,415.25925925925924
IE,12,454.5964912280702
IS,1,27.926666666666666
IS,2,27.458333333333332
IS,3,26.308333333333334
IS,4,25.746666666666666
IS,5,25.166666666666668
IS,6,24.625
IS,7,23.673333333333332
IS,8,24.433333333333334
IS,9,25.63921568627451
IS,10,24.856140350877194
IS,11,25.383333333333333
IS,12,26.32128514056225
IT,1,9855.035897435897
IT,2,9359.910256410256
IT,3,9086.589743589744
IT,4,8325.02564102564
IT,5,7607.51282051282
IT,6,7592.75641025641
IT,7,7858.574358974359
IT,8,7689.410256410257
IT,9,7347.175757575757
IT,10,7851.924731182796
IT,11,8478.307692307691
IT,12,9179.911949685535
LI,1,3.3681159420289855
LI,2,3.3260869565217392
LI,3,3.5490909090909093
LI,4,3.1246376811594203
LI,5,2.8613138686131387
LI,6,2.760869565217391
LI,7,2.973913043478261
LI,8,2.829090909090909
LI,9,3.0648464163822524
LI,10,2.914110429447853
LI,11,3.253623188405797
LI,12,3.275261324041812
LT,1,590.8909090909091
LT,2,578.6136363636364
LT,3,558.75
LT,4,540.6484848484848
LT,5,520.1742424242424
LT,6,502.4621212121212
LT,7,490.0121212121212
LT,8,476.9848484848485
LT,9,492.7659574468085
LT,10,541.0128205128206
LT,11,539.9469696969697
LT,12,579.0695970695971
LU,1,56.46111111111111
LU,2,55.861111111111114
LU,3,54.611111111111114
LU,4,50.26111111111111
LU,5,47.44444444444444
LU,6,47.125
LU,7,47.111111111111114
LU,8,46.979166666666664
LU,9,46.673202614379086
LU,10,49.98830409356725
LU,11,51.583333333333336
LU,12,54.406666666666666
LV,1,436.4909090909091
LV,2,428.06060606060606
LV,3,414.1969696969697
LV,4,394.5212121212121
LV,5,377.49242424242425
LV,6,365.95454545454544
LV,7,355.8060606060606
LV,8,343.1439393939394
LV,9,363.59574468085106
LV,10,394.71153846153845
LV,11,392.67424242424244
LV,12,415.2087912087912
ME,1,94.11111111111111
ME,2,88.74074074074075
ME,3,84.69444444444444
ME,4,80.22962962962963
ME,5,74.60185185185185
ME,6,76.82407407407408
ME,7,76.87407407407407
ME,8,77.1574074074074
ME,9,74.63157894736842
ME,10,80.3953488372093
ME,11,81.12962962962963
ME,12,85.24324324324324
MT,1,59.333333333333336
MT,2,57.87179487179487
MT,3,52.333333333333336
MT,4,44.94358974358974
MT,5,40.833333333333336
MT,6,40.794871794871796
MT,7,43.17948717948718
MT,8,40.93589743589744
MT,9,40.339393939393936
MT,10,41.03225806451613
MT,11,44.32051282051282
MT,12,52.76543209876543
NL,1,2236.0
NL,2,2201.4583333333335
NL,3,2172.4166666666665
NL,4,2073.1666666666665
NL,5,1871.6666666666667
NL,6,1810.1041666666667
NL,7,1823.1666666666667
NL,8,1813.2708333333333
NL,9,1829.8823529411766
NL,10,1981.1929824561403
NL,11,2103.9791666666665
NL,12,2231.470588235294
NO,1,601.7272727272727
NO,2,574.9621212121212
NO,3,553.0833333333334
NO,4,527.6242424242424
NO,5,501.8787878787879
NO,6,494.9848484848485
NO,7,497.24242424242425
NO,8,493.7348484848485
NO,9,505.02127659574467
NO,10,518.1666666666666
NO,11,536.780303030303
NO,12,576.2898550724638
PL,1,5497.698550724637
PL,2,5440.528985507246
PL,3,5350.550724637681
PL,4,5074.359420289855
PL,5,4732.507246376812
PL,6,4656.04347826087
PL,7,4626.005797101449
PL,8,4535.427536231884
PL,9,4684.136054421769
PL,10,5031.155963302752
PL,11,5227.028985507246
PL,12,5499.840277777777
PT,1,1719.8909090909092
PT,2,1633.621212121212
PT,3,1466.9318181818182
PT,4,1340.6969696969697
PT,5,1265.3636363636363
PT,6,1228.590909090909
PT,7,1238.739393939394
PT,8,1219.8939393939395
PT,9,1191.0666666666666
PT,10,1250.9385113268609
PT,11,1389.8863636363637
PT,12,1572.5289855072465
RO,1,3971.1
RO,2,3896.75
RO,3,3738.8958333333335
RO,4,3507.616666666667
RO,5,3156.3541666666665
RO,6,3148.8333333333335
RO,7,3122.2
RO,8,3088.2291666666665
RO,9,3183.7450980392155
RO,10,3898.1403508771928
RO,11,3800.7708333333335
RO,12,3808.5098039215686
RS,1,1527.9818181818182
RS,2,1480.1136363636363
RS,3,1421.6666666666667
RS,4,1348.0848484848484
RS,5,1261.840909090909
RS,6,1254.4848484848485
RS,7,1221.1454545454546
RS,8,1179.2121212121212
RS,9,1213.6737588652481
RS,10,1342.179487179487
RS,11,1366.0530303030303
RS,12,1450.5217391304348
SE,1,1297.616
SE,2,1256.84
SE,3,1224.6266666666668
SE,4,1175.6053333333334
SE,5,1090.0666666666666
SE,6,1061.1866666666667
SE,7,1067.7173333333333
SE,8,1056.08
SE,9,1079.4080996884736
SE,10,1119.1129943502824
SE,11,1156.64
SE,12,1257.820512820513
SI,1,284.4579710144927
SI,2,282.57246376811594
SI,3,265.05797101449275
SI,4,246.52753623188406
SI,5,231.56521739130434
SI,6,232.05797101449275
SI,7,229.72753623188405
SI,8,226.57246376811594
SI,9,233.05442176870747
SI,10,249.38837920489297
SI,11,258.4492753623188
SI,12,271.7263157894737
SK,1,769.7888888888889
SK,2,761.1527777777778
SK,3,729.4375
SK,4,684.5944444444444
SK,5,646.1041666666666
SK,6,648.8819444444445
SK,7,646.7
SK,8,637.9930555555555
SK,9,650.9084967320262
SK,10,686.1929824561404
SK,11,704.3055555555555
SK,12,748.5666666666667
UK,1,
UK,2,
UK,3,
UK,4,
UK,5,
UK,6,
UK,7,
UK,8,
UK,9,
UK,10,
UK,11,
UK,12,
